@relation benzo322

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric

@data
0.522157,0.190519,0.243313,0.583231,0.687889,0.339215,0.516951,0.361459,0.485165,0.100521,0.568874,0.534901,0.464414,0.378674,0.477878,0.170151,0.629022,0.312141,0.412248,0.507357,0.099833,0.49193,0.54016,0.637019,0.552921,0.294469,0.52472,0.647583,0.581739,0.678694,0.389756,0.907443,0.544
0.79768,0.91753,0.397088,0.267719,0.442947,0.577649,0.370267,0.443168,0.278611,0.147472,0.623191,0.674333,0.374506,0.438009,0.64712,0.498483,0.487673,0.274287,0.593298,0.339414,0.162086,0.702429,0.48278,0.406856,0.406501,0.584873,0.517726,0.63929,0.438276,0.542617,0.561839,0.712241,0.551067
0.173657,0.583534,0.284285,0.336517,0.237152,0.672627,0.373379,0.105885,1,0.493532,0.266177,0.47412,0.08182,0.501576,0.382526,0.500716,0.569004,0.037501,0.466108,0.555243,0.338636,0.585178,0.385593,0.568884,0.481307,0.404941,0.60627,0.677936,0.483955,0.339675,0.638739,0.545377,0.791467
0.54164,0.330402,0.2076,0.544459,0.405099,0.663872,0.471177,0.534167,0.436233,0.314451,0.608425,0.554011,0.584888,0.430059,0.589635,0.527861,0.595551,0.763536,0.137801,0.445279,0.322412,0.40881,1,0.62975,0.520716,0.261685,0.867525,0.581511,0.385815,0.50822,0.924437,0.251155,0.3697
0.258989,0.634482,0.530973,0.453977,0.27716,0.423459,0.575875,0.495988,0.08263,0.096998,0.650343,0.45103,0.549094,0.492109,0.494364,0.266144,0.346549,0.407814,0.393164,0.54463,0.281853,0.606288,0.385297,0.668097,0.211546,0.485008,0.723735,0.877005,0.340409,0.416531,0.63313,0.482768,0.716
0.730411,0.899443,0.267239,0.209275,0.40936,0.529057,0.448829,0.457817,0.233626,0.13635,0.452928,0.646302,0.444451,0.452769,0.581368,0.531502,0.412388,0.386154,0.344407,0.434039,0.164211,0.492853,0.350154,0.326436,0.456844,0.220293,0.738231,0.586099,0.43564,0.819466,0.453825,0.000105,0.674933
0.430425,0.557068,0.361237,0.758469,0.399565,0.331305,0.496806,0.304477,0.432092,0.128322,0.64881,0.335354,0.514853,0.554953,0.465778,0.144228,0.580021,0.395122,0.46363,0.390901,0.130019,0.49298,0.485127,0.668906,0.429455,0.206118,0.384887,0.56237,0.458924,0.733686,0.851163,0.865327,0.3597
0.168604,0.575943,0.164906,0.297408,0.164479,0.572539,0.496798,0.257757,0.802939,0.374823,0.361616,0.354103,0,0.583956,0.399134,0.630161,0.394002,0.019291,0.296563,0.499532,0.245878,0.610823,0.317503,0.676689,0.402396,0.416306,0.612973,0.730053,0.44817,0.506684,0.448846,0.526521,0.899633
0.752499,0.995005,0.47954,0.241586,0.67278,0.599337,0.533189,0.738359,0.562531,0.329916,0.890605,0.810147,0.385896,0.69694,0.151037,0.308088,0.68623,0.501506,0.379738,0.686149,0.142705,0.342122,0.235525,0.779067,0.257166,0.328315,0.605413,0.681131,0.400029,0.490889,0.62038,0.538782,0.936033
0.425964,0.926954,0.250613,0.741661,0.426006,0.422963,0.501904,0.745418,0.45641,0.27259,0.445266,0.685112,0.480408,0.39427,0.459667,0.305273,0.561135,0.339853,0.536702,0.478214,0.440016,0.70627,0.478739,0.703345,0.639014,0.404973,0.674571,0.732913,0.502708,0.34934,0.415772,0.478619,0.154267
0.631116,0.14624,0.371369,0.804904,0.36746,0.790661,0.610218,0.492075,0.650538,0.558282,0.779484,0.466042,0.683877,0.401761,0.429922,0.944637,0.333363,0.891149,0.72115,0.224031,0.470147,0.514462,0.324844,0.630379,0.401407,0.449622,0.64476,0.606826,0.47266,0.676028,0.405664,0.748267,0.400733
0.716231,0.9539,0.396466,0.252688,0.484349,0.589081,0.502609,0.62055,0.418864,0.288284,0.870091,0.88544,0.418234,0.631541,0.192881,0.283363,0.67085,0.453723,0.497657,0.608262,0.07732,0.406924,0.257431,0.776775,0.238533,0.42121,0.582772,0.666387,0.449945,0.600228,0.543106,0.670669,0.803367
0.275445,0.711264,0.162752,0.525836,0.259815,0.477086,0.392106,0.592788,0.243799,0.145665,0.612648,0.493227,0.509192,0.571424,0.446422,0.179908,0.582934,0.532678,0.64541,0.401388,0.222617,0.532668,0.421397,0.564149,0.343276,0.371601,0.433611,0.494343,0.094407,0.654407,0.645597,0.519719,0.241267
0.377649,0.928896,0.229055,0.673857,0.743312,0.558498,0.419566,0.844187,0.518335,0.24786,0.336899,0.47304,0.42113,0.584372,0.501615,0.346686,0.521627,0.383017,0.53983,0.566032,0.515584,0.5569,0.516306,0.463358,0.136097,0.509285,0.750407,0.731192,0.58866,0.70535,0.186063,0.337873,0.462
0.509216,0.562513,0.422559,0.632342,0.566746,0.469369,0.707257,0.238829,0.201659,0.171754,0,0.434172,0.080778,0.839921,0.468397,0.427286,0.658444,0.917457,0.207556,0.487754,0.302389,0.843608,0.192862,0.659719,0.468895,0.43734,0.392017,0.822244,0.625523,0.410242,0.348153,0.418859,0.583367
0.425371,0.79915,0.242323,0.601892,0.564257,0.544068,0.367512,0.573958,0.464559,0.215226,0.190172,0.656649,0.424359,0.50994,0.55489,0.403464,0.560447,0.415012,0.61227,0.232909,0.284202,0.545384,0.433426,0.734283,0.440549,0.422447,0.332987,0.627902,0.485626,0.528328,0.411353,0.93961,0.163933
0.527648,0.700532,1,0.672764,0.193117,0.446806,0.384249,0.406208,0.650742,0.237056,0.51257,0.65166,0.695083,0.364069,0.468222,0.268419,0.479456,0.400159,0.473881,0.601076,0.329148,0.703666,0.41157,0.513645,0.43892,0.304012,0.782348,0.597825,0.351331,0.410084,0.67363,0.386745,0.835667
0.522986,0.111919,0.261752,0.525436,0.74623,0.281854,0.4808,0.384383,0.323476,0.065363,0.34004,0.498013,0.324516,0.379286,0.404552,0.134191,0.584199,0.252379,0.347646,0.537474,0.214167,0.545847,0.388612,0.707706,0.482004,0.487526,0.806641,0.652987,0.320245,0.412855,0.492591,0.541561,0.192533
0.677417,0.867638,0.23655,0.243298,0.501857,0.387819,0.752078,0.315653,0.73911,0.038278,0.242513,0.021826,1,0.627153,0.575698,0.366585,0.562536,0.425355,0.545178,0.397692,0.220006,0.498642,0.268938,0.903029,0.527125,0.426885,0.834756,0.706596,0.514196,0.498889,0.497083,0.31158,0.8918
0.526972,0.561235,0.610789,0.497475,0.530898,0.597466,0.373034,0.092392,0.529595,0.259871,0.028546,0.640906,0.220283,0.563742,0.541748,0.046043,0.573983,0.652237,0.554572,0.442554,0.448566,0.35776,0.419542,0.552639,0.345865,0.269154,0.809013,0.532014,0.521586,0.27766,0.651524,0.143078,0.6027
0.514358,0.012563,0.289769,0.488508,0.733564,0.166068,0.426619,0.4456,0.421691,0.229559,0.527773,0.531698,0.43213,0.322283,0.360998,0.591583,0.357607,0.592344,0.749502,0.415752,0.379801,0.65361,0.179623,0.565254,0.362803,0.486525,0.62634,0.743919,0.343185,0.466738,0.510881,0.418825,0.296567
0.299424,0.740738,0.28853,0.668571,0.502717,0.60313,0.226531,0.458264,0.212821,0.239491,0.345819,0.403028,0.555429,0.703866,0.426005,0.489461,0.551087,0.628182,0.381516,0.492341,0,0.69523,0.362724,0.533607,0.547079,0.161984,0.375353,0.698854,0.205246,0.406086,0.709234,0.568946,0.474233
0.512326,0.759368,0.284419,0.628411,0.399407,0.41403,0.348146,0.593735,0.35431,0.277489,0.472028,0.498171,0.538732,0.654688,0.358613,0.268162,0.512494,0.251465,0.463937,0.24615,0.452049,0.586953,0.650538,0.694487,0.589322,0.210465,0.348499,0.744211,0.433266,0.614489,0.091151,0.464135,0.1359
0.547083,0.319733,0.147053,0.738234,0.47371,0.502884,0.594861,0.371141,0.498803,0.398475,0.723215,0.823211,0.684807,0.829109,0.918872,0.264175,0.691843,0.286227,0.12704,0.519376,0.412166,0.506045,0.168897,0.608048,0.382226,0.259588,0.522708,0.748747,0.466105,0.378156,0.301465,0.582403,0.926033
0.661323,0.826696,0.623445,0.894223,0.244062,0.34557,0.133498,0.560802,0.410695,0.085211,0.492105,0.275783,0.402948,0.620959,0.499517,0.622838,0.593516,0.397616,0.37011,0.55466,0.189939,0.389141,0.394771,0.748078,0.48866,0,0.644992,0.696437,0.319819,0.441233,0.228414,0.801179,0.8706
0.242146,0.669564,0.575736,0.495818,0.47364,0.404609,0.750015,0.683166,0.045584,0.121671,0.654454,0.31758,0.322955,0.548091,0.541593,0.649422,0.818794,0.329419,0.566085,0.407775,0.458103,0.341444,0.283075,0.486702,0.639887,0.406668,1,0.815798,0.289261,0.570055,0.224637,0.534636,0.946767
0.524602,0.099294,0.320155,0.578929,0.768146,0.333982,0.517764,0.350662,0.379438,0.115363,0.432327,0.568674,0.32706,0.410857,0.45617,0.155223,0.576694,0.285254,0.400292,0.440796,0.158589,0.597815,0.359328,0.764316,0.530096,0.647086,0.802769,0.722738,0.313309,0.422136,0.332148,0.800022,0.2663
0.390633,0.508403,0.557378,0.539413,0.56965,0.491379,0.548694,0.514489,0.337394,0.233704,0.219874,0.560539,0.659513,0.557968,0.465099,0.501875,0.406772,0.454152,0.230854,0.740263,0.209544,0.642842,0.650933,0.629056,0.280381,0.193711,0.539256,0.826578,0.597189,0.571687,0.811221,0.493416,0.7433
0.4034,0.912357,0.225231,0.814922,0.604124,0.543882,0.578185,0.410847,0.521334,0.203799,0.51153,0.603411,0.473856,0.353082,0.51059,0.299014,0.632464,0.354716,0.579291,0.590052,0.49303,0.619631,0.401481,0.839024,0.616675,0.761256,0.513277,0.753217,0.531326,0.376708,0.658442,0.458509,0.803367
0.316799,0.7218,0.890368,0.59123,0.613643,0.574536,0.568208,0.237549,0.61165,0.258895,0.48013,0.528478,0.552415,0.468072,0.527459,0.123139,0.574351,0.386878,0.534341,0.430046,0.244035,0.527356,0.380752,0.557644,0.468974,0.262598,0.536197,0.645804,0.537986,0.700347,0.312325,0.565309,0.820933
0.463149,0.799155,0.306669,0.62891,0.626744,0.567477,0.215586,0.588535,0.3126,0.275046,0.38038,0.424117,0.395703,0.548205,0.495954,0.407116,0.514079,0.357604,0.459969,0.489346,0.303802,0.485219,0.443271,0.451616,0.303441,0.515172,0.618992,0.681905,0.458829,0.4907,0.315246,0.601582,0.329367
0.338835,0.843686,0.116523,0.726461,0.385849,0.491835,0.586581,0.25105,0.443582,0.176557,0.503443,0.714483,0.548243,0.441298,0.454159,0.321401,0.571815,0.348256,0.618583,0.20383,0.125022,0.553233,0.493674,0.838459,0.308802,0.529312,0.367352,0.696597,0.363354,0.597325,0.185391,0.444712,0.558467
0.589944,0.872815,0.515218,0.908079,0.23015,0.253696,0.446368,0.815539,0.618216,0.072498,0.347709,0.65974,0.422314,0.503611,0.465573,0.490953,0.611247,0.361301,0.375792,0.524931,0.406792,0.701193,0.548551,0.658766,0.242206,0.405087,0.782072,0.703702,0.400194,0.623658,0.233967,0.469391,0.518767
0.275841,0.67171,0.729675,0.529903,0.542395,0.550501,0.544277,0.539308,0.351469,0.211732,0.496205,0.501954,0.664187,0.506388,0.500334,0.365873,0.419116,0.393197,0.313856,0.687925,0.256274,0.730096,0.399197,0.62601,0.584521,0.370069,0.640447,0.675985,0.431475,0.780758,0.220255,0.612748,0.8521
0.506456,0,0.254517,0.535833,0.692992,0.277965,0.414766,0.516657,0.379039,0.204191,0.427883,0.556293,0.335994,0.440325,0.450866,0.277874,0.523968,0.341287,0.51785,0.3608,0.173877,0.451772,0.503791,0.754526,0.4379,0.615724,0.845211,0.557927,0.201019,0.412105,0.585224,0.426847,0.1506
0.332219,0.779401,0.235467,0.686536,0.45187,0.361581,0.64168,0.547532,0.659857,0.176056,0.178762,0.536089,0.668402,0.481149,0.398404,0.285504,0.597182,0.616456,0.132134,0.187716,0.042505,0.138888,0.199754,0.15247,0.407295,0.888241,0.28068,0.47803,0.324863,0.618222,0.769062,0.755041,0.613433
0.571596,0.868781,0.432101,1,0.09916,0.193184,0.595668,0.501538,0.55307,0.034538,0.456422,0.688486,0.533992,0.413589,0.406493,0.424467,0.629636,0.343691,0.340061,0.554053,0.373198,0.671342,0.481839,0.667234,0.284322,0.466556,0.8109,0.680975,0.38006,0.52381,0.406848,0.537458,0.927733
0.587733,0.384889,0.641878,0.97585,0.345686,0.619092,0.601261,0.807223,0.311226,0.321914,0.52591,0.191763,0.591133,0.5224,0.314589,0.381543,0.299928,0.035002,0.82875,0.443348,0.204776,0.548156,0,0.668211,0.508883,0.56941,0.303136,0.686422,0.450565,0.668811,0.918251,0.15538,0.877333
0.603064,0.290076,0.338657,0.719505,0.412251,0.918145,0.499256,0.53663,0.478348,0.292985,0.495256,0.481115,0.497942,0.508131,0.439357,0.339329,0.596954,0.460906,0.500601,0.279808,0.187365,0.460128,0.494644,0.776263,0.440467,0.597261,0.595732,0.593349,0.365789,0.5516,0.294106,0.893328,0.5746
0.464808,0.52206,0.314653,0.60083,0.415239,0.45134,0.679075,0.162291,0.085864,0.160139,0.030708,0.4627,0.150158,0.805368,0.417508,0.380729,0.744618,0.966604,0.239741,0.56833,0.339033,1,0.132199,0.639813,0.554994,0.506545,0.340715,0.733956,0.488742,0.341935,0.479648,0.452006,0.777
0.270481,0.837083,0.005518,0.581523,0.313301,0.508944,0.374172,0.570283,0.271085,0.231523,0.371825,0.702044,0.56598,0.487407,0.449336,0.331483,0.569324,0.443894,0.697958,0.455491,0.22222,0.573749,0.442014,0.599507,0.334114,0.402507,0.658992,0.629958,0.402298,0.531322,0.332299,0.64026,0.1367
0.513531,0.246571,0.078432,0.782574,0.396548,0.464882,0.493693,0.486286,0.473131,0.427693,0.694599,0.889065,0.724449,1,0.986286,0.235123,0.645793,0.198793,0.470732,0.74153,0.25737,0.47,0.13001,0.480957,0.291392,0.283643,0.444957,0.674933,0.325568,0.535848,0.486098,0.507242,0.899633
0.784001,0.887435,0.372282,0.479494,0.418353,0.402092,0.678406,0.198444,0.148759,0.516532,0.384367,0.340906,0.429887,0.16993,0.568059,0.309141,0.49076,0.338427,0.312818,0.555536,0.327589,0.515087,0.253935,0.593555,0.303845,0.182798,0.598081,0.599833,0.211891,0.417314,0.19017,0.860335,0.767
0.375249,0.893238,0.247437,0.803006,0.65893,0.525156,0.681212,0.371911,0.620641,0.157201,0.498498,0.593365,0.439397,0.520178,0.509307,0.365774,0.498078,0.323,0.500172,0.027469,0.046714,0.614601,0.502021,0.794733,0.285124,0.19992,0.344281,0.628723,0.196282,0.618088,0.312745,0.224669,0.6027
0.408861,0.663758,0.159112,0.458946,0.389336,0.563181,0.520968,0.458676,0.50397,0.22894,0.835686,0.324935,0.652647,0.353351,0.428854,0.372341,0.704985,0.409083,0.423524,0.657345,0.242215,0.649972,0.651043,0.376546,0.553338,0.504745,0.34078,0.750385,0.041094,0.115032,0.132034,0,0.492367
0.555094,0.646712,0.411908,0.62128,0.49729,0.438845,0.721996,0.245611,0.34497,0.139827,0.337079,0.435012,0.249465,0.663957,0.550689,0.38003,0.460917,0.578162,0.396109,0.494893,0.243678,0.349612,0.494086,0.664804,0.318818,0.22161,0.710369,0.627304,0.696432,0.702237,0.372555,0.519224,0.695
0.641616,0.815216,0.28002,0.387852,0.632342,0.588124,0.469598,0.452694,0.450126,0.110606,0.131608,0.511366,0.471132,0.430806,0.542903,0.460027,0.397905,0.312182,0.192838,0.479093,0.974363,0.168986,0.406528,0.71375,0.150212,0.081058,0.386423,0.612034,0.225059,1,0.400938,0.06169,0.835667
0.495908,0.060089,0.289662,0.479966,0.725472,0.349782,0.358234,0.469554,0.334802,0.101474,0.321746,0.588082,0.307485,0.423104,0.455299,0.131674,0.5708,0.269137,0.404889,0.460194,0.201437,0.55159,0.387319,0.761246,0.483278,0.659958,0.872916,0.629544,0.175542,0.37762,0.471729,0.479148,0.232167
0.270364,0.68389,0.649094,0.517688,0.489603,0.471742,0.623534,0.643323,0.182712,0.144852,0.594862,0.425105,0.596873,0.516259,0.495872,0.394763,0.326385,0.385732,0.235493,0.664258,0.275507,0.732644,0.317431,0.663197,0.487407,0.442321,0.75299,0.756878,0.380578,0.618485,0.260449,0.592859,0.907933
0.227272,0.673291,0.521926,0.505859,0.430983,0.387647,0.741103,0.677745,0.109345,0.131731,0.71171,0.266821,0.342759,0.5883,0.542026,0.647825,0.896398,0.38197,0.613442,0.360595,0.345753,0.304075,0.388291,0.464301,0.588997,0.239442,0.717436,0.740534,0.418206,0.778585,0.176522,0.617237,0.858
0.366473,0.938702,0.209991,0.705462,0.694604,0.567504,0.468055,0.824366,0.515047,0.226263,0.387216,0.576739,0.419693,0.494524,0.532712,0.349046,0.565043,0.386938,0.644033,0.56979,0.52812,0.687325,0.419075,0.565134,0.472297,0.56625,0.751075,0.632742,0.504132,0.41424,0.589236,0.8319,0.899633
0.44812,0.878786,0.377823,0.711128,0.709411,0.634112,0.280615,0.657565,0.492937,0.243382,0.488362,0.437372,0.331014,0.493263,0.558595,0.445529,0.592228,0.408517,0.510597,0.59113,0.377663,0.502077,0.452434,0.725544,0.624127,0.659908,0.427002,0.76608,0.529699,0.426907,0.466876,0.436614,0.421333
0,0.701129,0.275444,0.392217,0.317129,0.521901,0.507263,0.843379,0.366515,0.161191,0.136995,1,0.689948,0.277936,0.535172,0.430614,0.190501,0.399076,0.367819,0.314195,0.158518,0,0.238053,0.640523,0.757105,0.320511,0.445671,0.785191,0.455098,0.177285,0.359372,0.792498,0.524667
0.415537,0.570464,0.282974,0.415355,0.437965,0.49855,0.663416,0.79966,0.508615,0.215773,0.834417,0.227235,0.661968,0.433355,0.471708,0.358694,0.678005,0.5279,0.393776,0.604453,0.346616,0.684614,0.672896,0.336139,0.494036,0.229664,0.505938,0.701172,0.199699,0.377328,0.306261,0.508496,0.3433
0.282603,0.698147,0.830806,0.523446,0.576873,0.549265,0.606104,0.409584,0.47488,0.279632,0.441046,0.490049,0.367864,0.485401,0.538061,0.362213,0.944672,0.397325,0.735206,0.359083,0.435931,0.376335,0.290863,0.3588,0.754118,0.284663,0.890129,0.616316,0.378926,0.513309,0.361362,0.448673,0.984733
0.270736,0.701493,0.845401,0.519299,0.546306,0.594398,0.487074,0.386106,0.53782,0.279522,0.311999,0.677766,0.666895,0.469243,0.461945,0.1201,0.525364,0.519028,0.466834,0.586257,0.230707,0.676763,0.267308,0.498299,0.595899,0.19716,0.695676,0.570466,0.424101,0.514025,0.588395,0.48232,0.8706
0.282101,0.684702,0.476917,0.570857,0.222636,0.360592,0.741036,0.428193,0.23729,0,1,0.155941,0.221307,0.54535,0.581474,0.034515,0.364073,0.499517,0.481567,0.299752,0.342228,0.424516,0.320687,0.805257,0.27867,0.39736,0.475865,0.612563,0.312169,0.482338,0.666932,0.635713,0.8521
0.363469,0.944298,0.12775,0.809544,0.582165,0.50043,0.643708,0.463725,0.471814,0.197637,0.515082,0.595177,0.556374,0.405505,0.456623,0.294524,0.580728,0.339118,0.56698,0.60423,0.469347,0.668505,0.395302,0.582444,0.429602,0.632194,0.784065,0.669987,0.545101,0.449461,0.497631,0.58752,0.8844
0.413638,0.606515,0.326564,0.437832,0.480827,0.6335,0.419481,0.671208,0.595735,0.204789,0.716731,0.303362,0.552933,0.431618,0.464898,0.347328,0.701909,0.404734,0.503614,0.502734,0.315076,0.666659,0.645805,0.48466,0.576321,0.441367,0.058276,0.728472,0.039059,0.263062,0.110302,0.380499,0.0147
0.31884,0.535801,0.244791,0.467889,0.317979,0.557168,0.385258,0.556248,0.418578,0.264927,0.865966,0.225389,0.594676,0.403856,0.473861,0.294955,0.701667,0.503407,0.443208,0.623449,0.268667,0.553262,0.691987,0.464176,0.537787,0.478164,0.359474,0.677568,0.014056,0.188886,0.451725,0.088606,0.513067
0.497162,0.338879,0.1848,0.3973,0.556799,0.361985,0.366353,0.544383,0.362824,0.053352,0.34261,0.406196,0.511535,0.396611,0.417081,0.139938,0.677453,0.223897,0.534193,0.640501,0.236717,0.684554,0.359847,0.491498,0.447457,0.244612,0.312093,0.616002,0.420941,0.570313,0.390033,0.921894,0.207933
0.82446,0.970969,0.410477,0.415662,0.500628,0.538166,0.57472,0.229218,0.33348,0.13164,0.733294,0.69284,0.417713,0.372618,0.598961,0.487724,0.467974,0.249869,0.473679,0.344253,0.092142,0.62675,0.391491,0.455811,0.561505,0.577491,0.519661,0.658448,0.523692,0.556068,0.581178,0.563894,0.713767
0.323333,0.761028,0.211776,0.795439,0.367143,0.415432,0.661677,0.348841,0.502293,0.126898,0.45214,0.633216,0.409849,0.495031,0.515605,0.185056,0.578976,0.406781,0.682675,0.146855,0.267443,0.641358,0.557215,0.885483,0.218274,0.42302,0.541566,0.610667,0.426081,0.513215,0.716723,0.588453,0.5663
0.743407,0.996651,0.516261,0.273502,0.66908,0.605732,0.598632,0.706559,0.629277,0.337345,0.868306,0.886177,0.390518,0.675956,0.118452,0.22914,0.729819,0.551611,0.407749,0.682267,0.108788,0.354264,0.172487,0.794297,0.365507,0.301773,0.626629,0.639389,0.415932,0.423428,0.655513,0.488935,0.958333
0.251153,0.651311,0.711566,0.527736,0.38836,0.474417,0.642723,0.1399,0.41125,0.182771,0.580666,0.480449,0.354186,0.469736,0.542591,0.262467,0.954217,0.338146,0.842201,0.125833,0.397472,0.174755,0.469827,0.436969,0.314195,0.14406,0.628673,0.94182,0.489596,0.362064,0.871377,0.512598,0.748867
0.415012,0.873485,0.203354,0.883578,0.46469,0.513964,0.433284,0,0.201709,0.176074,0.679775,0.286792,0.654187,0.502167,0.405304,0.392158,0.527695,0.362429,0.406513,0.625571,0.175649,0.352159,0.278579,0.691205,0.571671,0.274809,0.715893,0.591991,0.432959,0.42194,0.581638,1,0.748867
0.409561,0.514128,0.25882,0.417219,0.546345,0.401211,0.476613,0.76483,0.559212,0.109275,0.631153,0.251933,0.534677,0.466292,0.421634,0.156985,0.684164,0.295264,0.51605,0.492223,0.159709,0.636232,0.530423,0.406826,0.318131,0.117987,0.101119,0.659451,0.262023,0.708676,0.22727,0.549981,0.0928
0.550347,0.850469,0.351411,0.647696,0.513674,0.364252,0.532729,0.422,0.205992,0.625507,0.354974,0.187648,0.518183,0.376345,0.452175,0.228884,0.475685,0.332468,0.319707,0.332152,0.228361,0.558033,0.402021,0.541679,0.026185,0.199927,0.824818,0.647659,0.199874,0.314293,0.10471,0.86253,0.521667
0.571048,0.736787,0.098648,0,0.220027,0.401177,0.483363,0.407366,0.576337,0.08141,0.076884,0.167509,0.874988,0.629341,0.568766,0.431784,0.516146,0.412678,0.562263,0.364267,0.120115,0.450624,0.23198,0.772507,0.497322,0.288617,0.876316,0.595587,0.357058,0.561904,0.658829,0.238521,0.110333
