@relation meta_all

@attribute openml_task_id numeric
@attribute meta_REPTreeDepth2ErrRate numeric
@attribute meta_J48.00001.ErrRate numeric
@attribute meta_NBErrRate numeric
@attribute meta_MeanMutualInformation numeric
@attribute meta_NBAUC numeric
@attribute meta_DecisionStumpKappa numeric
@attribute meta_HoeffdingDDM.warnings numeric
@attribute meta_NoiseToSignalRatio numeric
@attribute meta_RandomTreeDepth3AUC_K=0 numeric
@attribute meta_PercentageOfNumericAtts numeric
@attribute meta_EquivalentNumberOfAtts numeric
@attribute meta_HoeffdingDDM.changes numeric
@attribute meta_ClassEntropy numeric
@attribute meta_NaiveBayesDdm.changes numeric
@attribute meta_NumMissingValues numeric
@attribute meta_NumNominalAtts numeric
@attribute meta_REPTreeDepth3AUC numeric
@attribute meta_MeanAttributeEntropy numeric
@attribute meta_MeanKurtosisOfNumericAtts numeric
@attribute meta_REPTreeDepth3Kappa numeric
@attribute meta_J48.001.ErrRate numeric
@attribute meta_NumNumericAtts numeric
@attribute meta_ClassCount numeric
@attribute meta_J48.00001.AUC numeric
@attribute meta_PercentageOfBinaryAtts numeric
@attribute meta_DecisionStumpAUC numeric
@attribute meta_RandomTreeDepth1AUC_K=0 numeric
@attribute meta_REPTreeDepth2Kappa numeric
@attribute meta_PositivePercentage numeric
@attribute meta_J48.0001.ErrRate numeric
@attribute meta_MinNominalAttDistinctValues numeric
@attribute meta_RandomTreeDepth2AUC_K=0 numeric
@attribute meta_MeanMeansOfNumericAtts numeric
@attribute meta_J48.0001.kappa numeric
@attribute meta_MeanNominalAttDistinctValues numeric
@attribute meta_J48.00001.kappa numeric
@attribute meta_PercentageOfNominalAtts numeric
@attribute meta_REPTreeDepth1Kappa numeric
@attribute meta_NegativePercentage numeric
@attribute meta_NumBinaryAtts numeric
@attribute meta_NaiveBayesDdm.warnings numeric
@attribute meta_MaxNominalAttDistinctValues numeric
@attribute meta_PercentageOfMissingValues numeric
@attribute meta_J48.001.AUC numeric
@attribute meta_J48.0001.AUC numeric
@attribute meta_NBKappa numeric
@attribute meta_REPTreeDepth1AUC numeric
@attribute meta_NaiveBayesAdwin.changes numeric
@attribute meta_REPTreeDepth3ErrRate numeric
@attribute meta_DecisionStumpErrRate numeric
@attribute meta_MeanStdDevOfNumericAtts numeric
@attribute meta_Dimensionality numeric
@attribute meta_REPTreeDepth2AUC numeric
@attribute meta_StdvNominalAttDistinctValues numeric
@attribute meta_HoeffdingAdwin.changes numeric
@attribute meta_MeanSkewnessOfNumericAtts numeric
@attribute meta_IncompleteInstanceCount numeric
@attribute meta_DefaultAccuracy numeric
@attribute meta_REPTreeDepth1ErrRate numeric
@attribute meta_J48.001.kappa numeric
@attribute meta_NumAttributes numeric
@attribute class {moa.NaiveBayes(1),moa.SPegasos(1),moa.LeveragingBag_kNN(1),moa.LeveragingBag_HoeffdingTree(1),moa.OzaBag_HoeffdingTree(1),moa.OzaBoost_HoeffdingTree(1)}

@data
2159,32.6,11.8,1.6,0.3819,0.999061,0.361117,0,2.331917,0.933263,0.028571,6.27974,0,2.398232,0,0,33,0.923629,1.272459,-0.755893,0.684917,12,1,6,0.950688,0.028571,0.77222,0.80597,0.57606,0.056,11.8,2,0.903997,36.246604,0.849556,3.909091,0.849556,0.942857,0.361117,0.332,1,0,4,0,0.949717,0.950688,0.979705,0.78599,4,24.4,48.1,15.212767,0.035,0.888319,0.384353,4,0.065477,0,0.332,48.1,0.846929,35,moa.NaiveBayes(1)
178,21.1,20.4,11.7,0.033676,0.950009,0.454918,0,28.454023,0.829341,0,29.672628,0,0.999261,0,0,32,0.860996,0.991899,0,0.619659,17.5,0,2,0.823477,0.515152,0.721062,0.731077,0.578943,0.484,19.5,1,0.787687,0,0.608169,2.40625,0.589531,0.969697,0.454918,0.516,17,0,8,0,0.842737,0.83386,0.765565,0.730666,0,19,26.9,0,0.033,0.859526,1.411002,0,0,0,0.516,26.9,0.648899,33,moa.OzaBoost_HoeffdingTree(1)
2157,67.4,33.4,24.3,-1,0.946061,0.103086,0,-1,0.828217,0.941176,-1,0,3.309104,0,0,0,0.851338,-1,-0.727313,0.450543,32.9,16,10,0.848195,0,0.698201,0.671849,0.242377,0.081,33.3,-1,0.774797,50.337944,0.629244,-1,0.628092,0,0.103019,0.123,0,0,-1,0,0.839675,0.845098,0.729533,0.696756,4,49.1,79.7,29.706633,0.017,0.789395,-1,4,0.018614,0,0.123,79.7,0.633667,17,moa.LeveragingBag_HoeffdingTree(1)
2155,10.6,10.6,37.4,-1,0.537608,0,1,-1,0.664351,0.909091,-1,0,0.644094,4,0,0,0.499493,-1,12.25621,0,10.6,10,5,0.499493,0,0.672276,0.650104,0,0.003,10.6,-1,0.695087,220.340598,0,-1,0,0,0,0.894,0,22,-1,0,0.499493,0.499493,0.069589,0.499493,2,10.6,10.6,724.660496,0.011,0.499493,-1,0,2.258557,0,0.894,10.6,0,11,moa.LeveragingBag_HoeffdingTree(1)
2164,51.7,42,52.7,-1,0.752103,0.189307,0,-1,0.734923,0.947368,-1,0,1.998948,0,0,0,0.761335,-1,0.422259,0.371448,41.6,18,4,0.782482,0,0.64511,0.632275,0.305658,0.234,42.2,-1,0.698218,116.391458,0.434374,-1,0.43718,0,0.176461,0.258,0,0,-1,0,0.767656,0.772211,0.296256,0.62956,0,46.8,60.7,22.442321,0.019,0.741586,-1,0,0.64629,0,0.258,61.7,0.442237,19,moa.LeveragingBag_HoeffdingTree(1)
120,18.3,17.5,10.9,0.069867,0.965812,0.401774,0,-15.312931,0.812514,0,-14.312931,0,-1,0,0,38,0.894168,-1,0,0.695703,17.4,0,6,0.696048,0.487179,0.651628,0.687743,0.465729,0,17.4,2,0.745371,0,0.485193,3.184211,0.482345,0.974359,0.4049,0.735,19,8,10,0,0.697936,0.697936,0.760939,0.681181,0,12,18.9,0,0.039,0.816411,1.886728,0,0,0,0.735,19,0.485193,39,moa.LeveragingBag_HoeffdingTree(1)
2165,17.3,16.2,14.9,0.044662,0.905853,0.232951,0,16.318475,0.807023,0.3,16.72957,0,0.747178,0,0,13,0.709001,0.77348,1.94985,0.426082,15.3,6,2,0.676531,0.65,0.695197,0.726208,0.393672,0.213,15.5,2,0.799029,47.698656,0.429199,2,0.426455,0.65,0.232951,0.787,13,1,2,0,0.697982,0.661393,0.569573,0.631837,0,17.1,19.2,29.270499,0.02,0.727034,0,0,1.097581,0,0.787,19.2,0.463768,20,moa.LeveragingBag_HoeffdingTree(1)
2128,20.1,21.5,19.7,0.021105,0.858728,0.089998,2,-48.38244,0.685689,0.153846,-47.38244,0,-1,1,0,32,0.764616,-1,2.894099,0.396945,21.5,6,6,0.58593,0.102564,0.601699,0.577666,0.19837,0,21.5,1,0.592277,365.587094,0.219017,2.3125,0.218903,0.820513,0,0.775,4,2,9,0,0.586222,0.586222,0.464617,0.498107,2,18,21.8,415.905393,0.039,0.635291,2.070336,0,1.738873,0,0.775,22.5,0.219017,39,moa.LeveragingBag_HoeffdingTree(1)
121,26.2,26.5,20.4,0.02961,0.876303,0,0,-34.77243,0.761244,0,-33.77243,0,-1,0,0,38,0.645075,-1,0,0.211976,26.5,0,6,0.498805,0.102564,0.583321,0.593477,0.204172,0,26.5,1,0.666569,0,0,2.421053,0,0.974359,0.030987,0.735,4,0,9,0,0.498805,0.498805,0.469147,0.583058,0,25.7,26.5,0,0.039,0.639735,1.912004,0,0,0,0.735,26.7,0,39,moa.LeveragingBag_HoeffdingTree(1)
2151,52.7,57,51.9,0.032504,0.67246,0.192786,10,36.771273,0.663742,0.2,47.117114,0,1.531473,0,0,7,0.630334,1.2277,-0.085245,0.185771,57,2,3,0.5,0.3,0.594748,0.572033,0.185771,0.216,57,2,0.631633,17.71184,0,3.142857,0,0.7,0.192786,0.43,3,6,4,0,0.5,0.5,0.209841,0.621384,0,52.7,52.8,5.204478,0.01,0.630334,1.069045,0,0.677249,0,0.43,52.8,0,10,moa.LeveragingBag_HoeffdingTree(1)
175,40.4,39.5,35.3,0.003591,0.639724,0.022651,7,-279.441493,0.524632,0,271.898248,0,0.9765,0,0,57,0.539303,-1,0,0.044217,39.1,0,2,0.522152,0,0.512871,0.504403,0.018941,0.41,39.5,3,0.520924,0,0.047045,3,0.047045,0.982759,0.018941,0.59,0,8,3,0,0.522807,0.522152,0.173496,0.512092,0,39.6,40.3,0,0.058,0.512092,0,0,0,0,0.59,40.4,0.059146,58,moa.LeveragingBag_HoeffdingTree(1)
2056,22.6,14.6,21.9,0.042736,0.848346,0.545469,7,64.683836,0.873618,0.777778,23.396964,3,0.999896,7,0,1,0.881521,2.807074,-1.119264,0.668688,8.6,7,2,0.90346,0,0.767206,0.74959,0.545469,0.494,14.6,7,0.810103,0.262088,0.707663,7,0.707663,0.111111,0.545469,0.506,0,13,7,0,0.94654,0.90346,0.561442,0.767206,1,16.5,22.6,0.068738,0.009,0.767206,0,1,0.078029,0,0.506,22.6,0.82786,9,moa.LeveragingBag_HoeffdingTree(1)
177,20.6,19.9,13.7,0.069889,0.929335,0.535926,2,11.409102,0.82941,0,14.361208,0,1.003691,0,0,13,0.863077,0.86726,0,0.584712,19.9,0,5,0.777934,0.214286,0.753764,0.753764,0.53902,0.001,19.9,1,0.803656,0,0.562753,2.692308,0.562753,0.928571,0.535926,0.63,3,2,4,0,0.777934,0.777934,0.70766,0.753764,0,19,20.8,0,0.014,0.75524,0.751068,0,0,0,0.63,20.8,0.562753,14,moa.OzaBag_HoeffdingTree(1)
2132,26.2,20,12.9,0.081838,0.943623,0.485685,0,13.193867,0.839678,0.157895,15.175483,0,1.241924,0,0,15,0.8109,1.161591,7.017486,0.521641,19.1,3,4,0.831164,0.473684,0.749215,0.780423,0.494531,0.013,19.6,2,0.823063,2.080087,0.633971,2.933333,0.62235,0.789474,0.485685,0.533,9,0,8,0,0.832763,0.832062,0.7595,0.780423,0,24.8,26.9,1.015358,0.019,0.803401,1.624221,0,2.058784,0,0.533,26.9,0.641671,19,moa.LeveragingBag_HoeffdingTree(1)
186,43.2,38,18.2,0.075574,0.93751,0.220774,0,13.859092,0.768534,0,20.961634,0,1.584155,0,0,40,0.787013,1.122961,0,0.38755,35.4,0,3,0.807206,0,0.647369,0.654685,0.354291,0.318,38,3,0.726832,0,0.429815,3,0.429609,0.97561,0.203855,0.344,0,0,3,0,0.823754,0.805269,0.727454,0.670846,0,41,51.8,0,0.041,0.778217,0,0,0,0,0.344,52.8,0.468654,41,moa.LeveragingBag_HoeffdingTree(1)
124,84.4,62.4,62.7,0.214245,0.86325,0.03303,1,3.696674,0.752232,0,21.861586,0,4.683729,0,0,16,0.758286,1.006237,0,0.176511,62.5,0,26,0.797811,0,0.62386,0.6359,0.119307,0.025,62.6,3,0.728303,0,0.347838,3,0.350051,0.941176,0.051864,0.048,0,1,3,0,0.788538,0.791551,0.346898,0.63819,1,79,92.3,0,0.017,0.711125,0,1,0,0,0.048,90.8,0.348863,17,moa.OzaBag_HoeffdingTree(1)
184,73.9,65.3,63.6,0.135004,0.814543,0.092599,0,10.490535,0.716321,0,25.568054,0,3.451793,0,0,13,0.719454,1.55127,0,0.223487,65.3,0,11,0.765482,0.142857,0.61445,0.675116,0.179221,0.077,65.3,2,0.719855,0,0.274869,3.769231,0.274869,0.928571,0.18098,0.105,2,0,15,0,0.765482,0.765482,0.299208,0.69418,0,70.2,81.4,0,0.014,0.697614,3.394943,0,0,0,0.105,73.5,0.274869,14,moa.OzaBag_HoeffdingTree(1)
181,15.4,15.3,12.2,0.0481,0.933789,0.46319,0,16.377075,0.810112,0,15.494469,0,0.745288,0,0,19,0.772331,0.835842,0,0.514198,15.3,0,2,0.746806,0.65,0.686213,0.698365,0.46319,0.212,15.3,2,0.772965,0,0.496021,2.315789,0.496021,0.95,0.46319,0.788,13,6,3,0,0.746806,0.746806,0.645843,0.686213,0,15,15.4,0,0.02,0.686213,0.477567,0,0,0,0.788,15.4,0.496021,20,moa.LeveragingBag_HoeffdingTree(1)
2133,68.4,43.3,20.7,-1,0.974453,0.094843,0,-1,0.774133,0.987013,-1,0,3.316636,0,0,0,0.861054,-1,-0.270384,0.444646,43.5,76,10,0.812289,0,0.695922,0.642797,0.241533,0.087,43.8,-1,0.729841,0.13257,0.512788,-1,0.51847,0,0.093965,0.114,0,0,-1,0,0.792967,0.804541,0.769594,0.695669,5,50.1,81.2,0.066966,0.077,0.80858,-1,6,0.481406,0,0.114,81.3,0.516194,77,moa.OzaBoost_HoeffdingTree(1)
165,7.9,9.3,8.1,0.046324,0.911374,0.425518,4,-22.587091,0.866933,0,13.615586,0,0.630728,0,0,10,0.772482,-1,0,0.495079,9.3,0,5,0.539775,0,0.706484,0.756759,0.495079,0.012,9.3,3,0.870974,0,0.11426,3,0.11426,0.909091,0.244069,0.901,0,4,3,0,0.539775,0.539775,0.33681,0.669484,0,7.9,8.6,0,0.011,0.772482,0,0,0,0,0.901,9.4,0.11426,11,moa.LeveragingBag_HoeffdingTree(1)
185,14.7,13,18,0.06744,0.921205,0.57978,9,-15.82808,0.907413,0,13.889742,0,0.936719,0,0,34,0.885919,-1,0,0.725354,13,0,2,0.856041,0,0.765965,0.741295,0.664132,0.353,13,1,0.853705,0,0.704759,2.941176,0.704759,0.971429,0.57978,0.647,0,7,3,0,0.856041,0.856041,0.625694,0.767747,0,12.4,17.7,0,0.035,0.835094,0.342997,0,0,0,0.647,17.7,0.704759,35,moa.LeveragingBag_HoeffdingTree(1)
2156,28.9,30.3,25.3,0.021152,0.782983,0,0,-48.276489,0.691556,0.333333,41.836252,0,0.884927,0,0,13,0.636384,-1,0.634676,0.154011,30.3,7,2,0.498816,0.095238,0.620727,0.645373,0.129927,0.303,30.3,2,0.697655,458.957894,0,4.307692,0,0.619048,0.154009,0.697,2,0,11,0,0.498816,0.498816,0.358532,0.622545,0,28.6,30.3,397.481865,0.021,0.639862,2.287087,0,0.875915,0,0.697,30.9,0,21,moa.LeveragingBag_HoeffdingTree(1)
2127,15.5,14.6,14.9,0.06391,0.93888,0.417889,2,-16.647055,0.81628,0.153846,-15.647055,0,-1,0,0,32,0.911583,-1,2.707549,0.755808,14.5,6,6,0.729296,0.487179,0.651772,0.734555,0.449564,0,14.5,2,0.823051,387.825412,0.532644,3.21875,0.530522,0.820513,0.424953,0.775,19,1,10,0,0.729588,0.729588,0.630166,0.67733,4,9.5,15.9,425.762709,0.039,0.692881,2.059351,0,1.693718,0,0.775,15.9,0.532644,39,moa.OzaBoost_HoeffdingTree(1)
2129,15.3,12.3,9.1,0.115719,0.957602,0.623292,2,7.950321,0.885189,0.470588,8.117222,0,0.939313,0,0,8,0.91946,1.035718,2.712182,0.7211,11.3,8,2,0.870185,0.176471,0.776943,0.684647,0.638387,0.356,12.3,2,0.859969,8.982299,0.716621,2.625,0.716621,0.470588,0.623292,0.644,3,0,3,0,0.870861,0.870185,0.800158,0.808505,0,12.7,15.7,1.907069,0.017,0.812044,0.517549,0,0.335705,0,0.644,15.7,0.741376,17,moa.LeveragingBag_HoeffdingTree(1)
123,14,11.3,5.5,0.084309,0.983292,0.584589,5,11.168862,0.937968,0,10.991927,2,0.92672,0,0,16,0.924736,1.025946,0,0.761045,11.3,0,2,0.879135,0.176471,0.781413,0.696502,0.667957,0.342,11.3,2,0.821162,0,0.738079,2.8125,0.738079,0.941176,0.584589,0.658,3,0,3,0,0.879135,0.879135,0.87702,0.801081,0,10.8,17.2,0,0.017,0.852817,0.403113,0,0,0,0.658,17.2,0.738079,17,moa.LeveragingBag_HoeffdingTree(1)
122,24.8,7.9,16.6,0.01713,0.910483,0.366495,0,34.292174,0.677149,0,58.310805,0,0.998846,0,0,36,0.918291,0.604544,0,0.774303,8,0,2,0.942794,0.918919,0.678133,0.535649,0.493298,0.48,7.9,2,0.566202,0,0.841276,2.055556,0.841276,0.972973,0.366495,0.52,34,0,3,0,0.941336,0.942794,0.666881,0.678133,0,11.2,32.4,0,0.037,0.829451,0.232311,0,0,0,0.52,32.4,0.83928,37,moa.LeveragingBag_HoeffdingTree(1)
179,25.4,22.4,13.6,0.076347,0.937769,0.509075,0,13.09502,0.809077,0,12.975063,0,0.990605,0,0,13,0.830592,1.07611,0,0.531941,22.8,0,2,0.80718,0,0.747713,0.718471,0.489322,0.443,22.4,3,0.803948,0,0.545471,3,0.545471,0.928571,0.510983,0.557,0,0,3,0,0.810471,0.80718,0.724419,0.748074,0,22.8,24.3,0,0.014,0.815658,0,0,0,0,0.557,24.2,0.539909,14,moa.LeveragingBag_HoeffdingTree(1)
198,63.2,35.3,49,-1,0.752269,0.132749,2,-1,0.713144,0.909091,-1,0,2.230068,0,0,0,0.692171,-1,-0.013216,0.233024,33.9,10,5,0.80351,0,0.576498,0.58686,0.123675,0.107,34.8,-1,0.659305,0.515526,0.550323,-1,0.543649,0,0.087642,0.31,0,2,-1,0,0.803857,0.804352,0.357834,0.585151,0,57.6,62.9,0.330689,0.011,0.621579,-1,0,-0.045407,0,0.31,65.6,0.560853,11,moa.LeveragingBag_kNN(1)
169,25.5,12.6,2.7,0.376598,0.998887,0.314414,0,2.348874,0.905988,0,6.461612,0,2.433433,0,0,34,0.946146,1.261181,0,0.762278,12.5,0,6,0.938247,0.028571,0.788149,0.664891,0.672053,0.056,12.6,2,0.855131,0,0.84109,3.882353,0.84109,0.971429,0.302791,0.307,1,0,4,0,0.938947,0.938247,0.966212,0.791973,1,18.7,52.7,0,0.035,0.919942,0.409338,1,0,0,0.307,53.1,0.842354,35,moa.NaiveBayes(1)
191,35.6,28.4,10.7,-1,0.933339,0.240085,0,-1,0.727064,0.909091,-1,0,-1,0,0,0,0.69622,-1,-1.181037,0.350513,27.1,10,5,0.735756,0,0.620066,0.62712,0.272376,0,28.4,-1,0.690607,0.50037,0.430295,-1,0.430295,0,0.243549,0.522,0,0,-1,0,0.750361,0.735756,0.785035,0.63314,0,32.2,38.3,0.288668,0.011,0.641594,-1,0,-0.009339,0,0.522,37.3,0.456517,11,moa.SPegasos(1)
190,36.6,31.6,11,-1,0.933085,0.209517,0,-1,0.709967,0.909091,-1,0,-1,0,0,0,0.68559,-1,-1.181037,0.33021,31.3,10,5,0.701624,0,0.616255,0.611467,0.259184,0,31.6,-1,0.674807,0.50037,0.366543,-1,0.366543,0,0.231917,0.525,0,0,-1,0,0.702983,0.701624,0.778783,0.621664,0,33.6,40.2,0.288668,0.011,0.648948,-1,0,-0.009339,0,0.525,38.6,0.37525,11,moa.SPegasos(1)
2166,89.7,78.1,69.7,0.040387,0.770805,0.041289,0,47.611229,0.643313,0.714286,85.565321,0,3.455731,0,0,3,0.612279,1.963264,-0.566055,0.064019,74.3,10,11,0.66648,0.142857,0.622666,0.559842,0.006504,0.083,75.5,2,0.621124,-0.103699,0.169486,6.333333,0.141723,0.214286,-0.000557,0.103,2,0,15,0,0.686986,0.676913,0.233014,0.498349,0,85,86.7,0.711942,0.014,0.542913,7.505553,0,0.097771,0,0.103,89.8,0.182482,14,moa.OzaBag_HoeffdingTree(1)
183,6.1,6.1,7.1,0.003026,0.664801,0,0,-331.486727,0.621949,0,-330.486727,0,-1,1,0,29,0.49564,-1,0,0,6.1,0,4,0.49564,0.666667,0.529458,0.555146,0,0,6.1,1,0.535615,0,0,2.241379,0,0.966667,0,0.939,20,8,5,0,0.49564,0.49564,-0.000719,0.49564,2,6.1,6.1,0,0.03,0.49564,0.739458,0,0,0,0.939,6.1,0,30,moa.LeveragingBag_HoeffdingTree(1)
