@relation pah2

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute oz51 numeric
@attribute oz52 numeric
@attribute oz53 numeric
@attribute oz54 numeric
@attribute oz55 numeric
@attribute oz56 numeric
@attribute oz57 numeric
@attribute oz58 numeric
@attribute oz59 numeric
@attribute oz60 numeric
@attribute oz61 numeric
@attribute oz62 numeric
@attribute oz63 numeric
@attribute oz64 numeric
@attribute oz65 numeric
@attribute oz66 numeric
@attribute oz67 numeric
@attribute oz68 numeric
@attribute oz69 numeric
@attribute oz70 numeric
@attribute oz71 numeric
@attribute oz72 numeric
@attribute oz73 numeric
@attribute oz74 numeric
@attribute oz75 numeric
@attribute oz76 numeric
@attribute oz77 numeric
@attribute oz78 numeric
@attribute oz79 numeric
@attribute oz80 numeric
@attribute oz81 numeric
@attribute oz82 numeric
@attribute oz83 numeric
@attribute oz84 numeric
@attribute oz85 numeric
@attribute oz86 numeric
@attribute oz87 numeric
@attribute oz88 numeric
@attribute oz89 numeric
@attribute oz90 numeric
@attribute oz91 numeric
@attribute oz92 numeric
@attribute oz93 numeric
@attribute oz94 numeric
@attribute oz95 numeric
@attribute oz96 numeric
@attribute oz97 numeric
@attribute oz98 numeric
@attribute oz99 numeric
@attribute oz100 numeric
@attribute oz101 numeric
@attribute oz102 numeric
@attribute oz103 numeric
@attribute oz104 numeric
@attribute oz105 numeric
@attribute oz106 numeric
@attribute oz107 numeric
@attribute oz108 numeric
@attribute oz109 numeric
@attribute oz110 numeric
@attribute oz111 numeric
@attribute oz112 numeric
@attribute oz113 numeric

@data
0.102806,0.114288,0.089963,0.103393,0.066662,0.066346,0,0,0.795236,0.129034,0.166666,0.111116,0.106089,0.082101,0.813435,0.027159,0.026947,0.020894,0.019892,0.159033,0.991969,0.032923,0.193558,0.096004,0.081311,0.049501,0.012982,0.33387,0.011906,0.018907,0.093788,0.013749,0.003885,0.997004,0.163229,0.000122,0.034739,0.034739,0.034739,0.034739,0.034739,0.970544,0.948422,0.948422,0.948422,0.948422,0.948422,0.235298,0.445184,0.156409,0.179189,0.25388,0.233325,0.241195,0.528163,0.399208,0.714913,0.593751,0.169009,0.202535,0.357146,0.625179,0.064722,0.081773,0.201162,0.221774,0.084327,0.07595,0.037684,0.117185,1,0.862718,0.451013,0,0.124546,0,0.045217,0,0,0.169418,0.110338,0.141657,0.08265,0.074574,0.08218,1,0.779412,0.954525,0.773594,0.744681,0.67501,0.196378,0.131279,0.162165,0.097648,0.098294,0.100725,1,0.723689,0.800008,0.555556,0.54285,0.545447,0.169418,0.110338,0.141657,0.08265,0.074574,0.08218,0.110293,0.10508,0.070749,0.121734
0.102806,0.114288,0.093424,0.105175,0.066662,0.066346,0,0,0.795236,0.129034,0.166666,0.122227,0.105555,0.080636,0.791047,0.026797,0.026692,0.020597,0.019743,0.15764,0.981703,0.032474,0.186674,0.096686,0.081875,0.049115,0.012857,0.332789,0.011906,0.018353,0.094545,0.013824,0.003929,0.995271,0.160645,0.000122,0.034289,0.034289,0.034289,0.034289,0.034289,0.985262,0.961144,0.961144,0.961144,0.961144,0.961144,0.205886,0.524917,0.144615,0.181853,0.231236,0.233325,0.241195,0.449866,0.399208,0.719302,0.640626,0.436622,0.101255,0.297626,0.250354,0.062845,0.079436,0.191468,0.14342,0.089699,0.07595,0.035846,0.093747,1,0.862718,0.295963,0,0.124546,0,0.045217,0,0,0.169418,0.111442,0.132608,0.104264,0.061294,0.07948,1,0.808831,0.848488,0.886792,0.68086,0.650008,0.196378,0.131829,0.154277,0.128331,0.078939,0.098343,1,0.723689,0.75,0.688885,0.457135,0.5,0.169418,0.111442,0.132608,0.104264,0.061294,0.07948,0.111386,0.101555,0.071348,0.142315
0.102806,0.114288,0.089963,0.103393,0.066662,0.066346,0,0,0.795236,0.129034,0.166666,0.111116,0.107286,0.085039,0.858209,0.027971,0.027649,0.021635,0.020415,0.161549,1,0.033818,0.207875,0.095163,0.080429,0.050138,0.013191,0.386273,0.011906,0.020017,0.092769,0.013673,0.003849,1,0.169183,0.000123,0.035637,0.035637,0.035637,0.035637,0.035637,0.932784,0.911592,0.911592,0.911592,0.911592,0.911592,0.240487,0.471762,0.158732,0.179556,0.25388,0.233325,0.241195,0.528163,0.399208,0.714913,0.656252,0.253523,0,0.309526,0.625179,0.07035,0.088782,0.23024,0.253647,0.095392,0.082279,0.035386,0.117185,1,0.862718,0.484347,0,0.126576,0,0.045866,0,0,0.169418,0.110338,0.139558,0.095517,0.054899,0.080859,1,0.779412,0.924232,0.924536,0.68086,0.650008,0.196378,0.131279,0.160111,0.115546,0.070782,0.096753,1,0.723689,0.783339,0.688885,0.457135,0.5,0.169418,0.110338,0.139558,0.095517,0.054899,0.080859,0.110293,0.109764,0.06981,0.284645
0.121497,0.154764,0.117646,0.147956,0.111106,0.124501,0.640428,0.526919,0.66666,0.129034,0.11111,0.133339,0.101498,0.070362,0.649254,0.028287,0.031379,0.025458,0.029735,0.151756,0,0.029338,0.137111,0.1128,0.089436,0.033609,0.025219,0.030793,0.121039,0.015177,0.108365,0.021001,0.007623,0.0616,0.073776,0.000361,0.027106,0.027106,0.027106,0.027106,0.027106,0.784532,0.855982,0.855982,0.855982,0.855982,0.855982,0.240487,0.139532,0.108486,0.116542,0.064669,0.132188,0.139971,0.148346,0.143221,0.2807,0.328125,0.450706,0.569624,0.452383,0.500741,0.060969,0.065418,0.133319,0.025897,0.050809,0.063291,0.034927,0.054685,0,0,0.075254,0,0.132195,0,0.095709,0,0.077358,0.131175,0.12878,0.125523,0.118272,0.121858,0.131522,0.362643,0.632355,0.560605,0.547178,0.595753,0.600008,0.123651,0.116519,0.109442,0.104954,0.1106,0.119315,0.180179,0.289472,0.266669,0.244448,0.257139,0.272725,0.131175,0.12878,0.125523,0.118272,0.121858,0.131522,0.128789,0.156249,0.085541,0.254683
0.177573,0.219049,0.159167,0.196084,0.111106,0.196723,0.567899,0.424996,0.538091,0.225808,0.11111,0.166671,0.194627,0.161908,0.74627,0.067671,0.072581,0.059413,0.066682,0.279128,0,0.07458,0.341133,0.176853,0.150762,0.112927,0.06017,0.816314,0.12541,0.048051,0.171085,0.032331,0.011338,0.953033,0.300491,0.000471,0.079186,0.079186,0.079186,0.079186,0.079186,0.645489,0.584725,0.584725,0.584725,0.584725,0.584725,0.332183,0.192685,0.141364,0.233598,0.279683,0.29089,0.438597,0.65317,0.55159,0.359646,0.124991,0.225361,0.392407,0.404763,1,0.140707,0.158876,0.339125,0.273567,0.151629,0.13924,0.099265,0.218748,0,0,0.573742,0,0.251101,0,0.056166,0,0,0.239522,0.226189,0.194451,0.169233,0.150571,0.154513,0.450554,0.808831,0.712117,0.71699,0.723413,0.700008,0.229415,0.208194,0.171564,0.147934,0.132998,0.136156,0.216213,0.368419,0.333337,0.311115,0.314281,0.31818,0.239522,0.226189,0.194451,0.169233,0.150571,0.154513,0.226199,0.28867,0.135801,0.179777
0.177573,0.219049,0.155706,0.194301,0.111106,0.196723,0.567899,0.424996,0.538091,0.225808,0.11111,0.15556,0.199313,0.176218,0.888072,0.072904,0.077811,0.064608,0.071911,0.288765,0,0.079955,0.3962,0.173223,0.146705,0.117075,0.06233,0.92489,0.12541,0.055917,0.16669,0.031878,0.011009,0.959495,0.323345,0.000474,0.084573,0.084573,0.084573,0.084573,0.084573,0.551565,0.496981,0.496981,0.496981,0.496981,0.496981,0.340834,0.401995,0.151581,0.23069,0.306356,0.29089,0.438597,0.728716,0.55159,0.35526,0.187495,0.140856,0.202535,0.309526,0.700142,0.165097,0.184577,0.425729,0.387778,0.181698,0.164557,0.091911,0.218748,0,0,0.651519,0,0.266369,0,0.058919,0,0,0.239522,0.22515,0.19937,0.16993,0.138704,0.14449,0.450554,0.794119,0.757571,0.8302,0.808511,0.725012,0.229415,0.207645,0.175346,0.145864,0.119725,0.126305,0.216213,0.355261,0.36667,0.355559,0.342853,0.363634,0.239522,0.22515,0.19937,0.16993,0.138704,0.14449,0.225106,0.308592,0.131403,0.290262
0.140189,0.176193,0.128026,0.162216,0.111106,0.148575,0.612651,0.488458,0.619041,0.161291,0.11111,0.133339,0.134792,0.10637,0.791047,0.042136,0.04573,0.037816,0.042904,0.202186,0,0.044793,0.240089,0.131739,0.107038,0.055761,0.035893,0.418148,0.123574,0.027076,0.126385,0.02897,0.011161,0.071783,0.119841,0.00042,0.042596,0.042596,0.042596,0.042596,0.042596,0.65838,0.719353,0.719353,0.719353,0.719353,0.719353,0.27163,0.401995,0.131612,0.150867,0.099323,0.184487,0.234069,0.361266,0.268603,0.307015,0.296875,0.239437,0.316458,0.428573,0.625179,0.103184,0.112147,0.271654,0.268255,0.108275,0.120253,0.029412,0.078122,0,0,0.484347,0,0.157171,0,0.072613,0,0,0.167273,0.16021,0.15379,0.134878,0.116877,0.136446,0.39561,0.676472,0.666664,0.71699,0.68086,0.62501,0.158946,0.146497,0.134183,0.116277,0.103687,0.122334,0.189187,0.315788,0.316669,0.311115,0.28571,0.31818,0.167273,0.16021,0.15379,0.134878,0.116877,0.136446,0.160166,0.215232,0.099291,0.5
0.168226,0.195241,0.155706,0.181824,0.133328,0.162644,0.430557,0.373072,0.595234,0.19355,0.166666,0.166671,0.162744,0.128675,0.723882,0.052378,0.054787,0.045868,0.04875,0.236245,0.633909,0.05711,0.271751,0.158254,0.131446,0.074537,0.043358,0.44624,0.123574,0.034892,0.152889,0.035202,0.013538,0.358417,0.165397,0.000509,0.056513,0.056513,0.056513,0.056513,0.056513,0.687846,0.725382,0.725382,0.725382,0.725382,0.725382,0.264709,0.524917,0.177492,0.203837,0.317518,0.245384,0.286459,0.429948,0.360463,0.394734,0.453125,0.366198,0.316458,0.404763,0.625179,0.115378,0.128503,0.282478,0.274231,0.131956,0.132911,0.051011,0.117185,0.199998,0.581478,0.475761,0,0.172911,0,0.079781,0,0,0.211746,0.186835,0.188353,0.164923,0.139503,0.148751,0.538466,0.661766,0.651512,0.679253,0.638307,0.550008,0.215248,0.184726,0.182584,0.159013,0.136869,0.144419,0.414411,0.394735,0.400004,0.377781,0.314281,0.31818,0.211746,0.186835,0.188353,0.164923,0.139503,0.148751,0.186834,0.230076,0.121316,0.256556
0.168226,0.195241,0.152248,0.180041,0.133328,0.162644,0.430557,0.373072,0.595234,0.19355,0.166666,0.15556,0.164518,0.133765,0.783583,0.054002,0.05619,0.047352,0.049795,0.239921,0.661112,0.058902,0.292676,0.156574,0.129779,0.075894,0.04411,0.487298,0.123574,0.037312,0.150919,0.034975,0.013379,0.361645,0.173427,0.000509,0.058309,0.058309,0.058309,0.058309,0.058309,0.650093,0.686534,0.686534,0.686534,0.686534,0.686534,0.268169,0.471762,0.190866,0.201602,0.340164,0.245384,0.286459,0.489702,0.360463,0.390347,0.453125,0.211261,0.240507,0.428573,1,0.125697,0.140185,0.324397,0.309425,0.139334,0.13924,0.051471,0.16406,0.199998,0.581478,0.597479,0,0.176133,0,0.081345,0,0,0.211746,0.185796,0.195303,0.156175,0.132556,0.152832,0.538466,0.647061,0.727269,0.69812,0.638307,0.57501,0.215248,0.184176,0.188525,0.146229,0.12802,0.147596,0.414411,0.394735,0.450004,0.355559,0.314281,0.31818,0.211746,0.185796,0.195303,0.156175,0.132556,0.152832,0.185741,0.23828,0.119535,0.486892
0.196263,0.214288,0.176468,0.197867,0.155551,0.176748,0.28705,0.274993,0.571424,0.225808,0.222221,0.177782,0.194806,0.162504,0.768658,0.06722,0.067606,0.057929,0.057211,0.276805,0.984431,0.074804,0.343611,0.181602,0.153185,0.098646,0.052724,0.552668,0.123574,0.049363,0.175715,0.041434,0.015762,0.654727,0.232655,0.000611,0.076043,0.076043,0.076043,0.076043,0.076043,0.644568,0.663091,0.663091,0.663091,0.663091,0.663091,0.259519,0.538206,0.249564,0.256012,0.285889,0.306948,0.338638,0.638049,0.454934,0.464909,0.609376,0.183108,0.177209,0.440479,1,0.146335,0.165886,0.362791,0.377817,0.165822,0.170886,0.06342,0.187497,0.500005,0.697551,0.612125,0,0.19509,0,0.090076,0,0,0.256168,0.211318,0.236883,0.17741,0.148296,0.16916,0.670332,0.61765,0.772722,0.69812,0.595753,0.550008,0.271611,0.221855,0.242869,0.176304,0.152491,0.172859,0.603603,0.473682,0.550004,0.400004,0.342853,0.363634,0.256168,0.211318,0.236883,0.17741,0.148296,0.16916,0.211316,0.261716,0.140331,0.546816
