@relation selwood2

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute oz51 numeric
@attribute oz52 numeric
@attribute oz53 numeric
@attribute oz54 numeric

@data
1,0,1,0.844503,0.551559,0.132111,0.373931,0.972151,0.239721,0.306339,0.611454,0.19906,0,0.750311,0.983142,0.980133,0.94053,0.974315,0.930916,0.987622,0.983052,0.976015,0.979775,0.993858,0.028323,0.032438,0.109245,0.018002,0.014445,0.069384,0.055459,0.183617,0.118489,0.250522,0.72776,0.582375,0.466577,0.414476,0.436347,0.453443,0.841482,0.32491,0.852502,0.52978,0.137186,0.498072,0.153588,0.297467,0,0.410567,0.59794,0.386361,1,0.476184
0.521944,0.684109,0.452884,0.588231,0.514879,0.205506,0.303109,0.979746,0.186842,0.299654,0.00884,0.488585,0.32971,0.348532,0.969156,0.968326,0.54495,0.930027,0.586098,0.937937,0.965438,0.960258,0.958747,0.965117,0.016401,0,0.012305,0.010706,0,0.007134,0.019925,0.062424,0.026068,0.127012,0.596402,0.51955,0.724115,0.317755,0.306438,0.358936,0.557802,0.772093,0.707381,0.535918,0.1744,0.443758,0.155328,0.292004,0.174368,0.670196,0.417528,0,0.163257,0.482988
0.520319,0.476234,0.544192,0.875055,0.271279,0.357801,0.290362,0.967088,0.180967,0.30044,0.11841,0.367067,0.355391,0.432763,0.905639,0.94602,0.357213,0.853812,0.549899,0.906889,0.900119,0.952724,0.948701,0.949968,0.00265,0.020313,0.014059,0.000885,0.001951,0.003813,0.006268,0.057801,0.02163,0.126272,0.596402,0.522401,0.410505,0.336737,0.355362,0.409891,0.747558,0.352274,0.707381,0.537938,0.166357,0.452843,0.155627,0.295734,0.128927,0.670196,0.458767,0,0.163257,0.517001
0.727637,0.670097,0.734841,0.808479,0.743952,0.155963,0.60481,0.951899,0.23267,0.31263,0.805228,0.729314,0.567809,0.205542,0.332898,0.538701,0.76678,0.176795,0.571507,0,0.349571,0.764521,0.804686,0.486745,0.028382,0.020646,0.079058,0.048964,0.012243,0.073839,0.062135,0.130784,0.073211,0.197446,0.593754,0.462219,0.818874,0.312149,0.294636,0.347008,0.578378,0.864587,0.697976,0.262615,0.294455,0.859749,0.071106,0.137375,0.028534,0.584061,0.572167,0.534088,0.857152,0.520402
0.650401,0.668324,0.739953,0.800727,0.806238,0.110091,0.623222,0,1,1,1,0.760871,0.573151,0.375862,0.182248,0.089589,0,0.265432,0.200817,0.575144,0.224108,0,0,0,0.025284,0.013984,0.089507,0.048202,0.009438,0.079388,0.068399,0.180833,0.158875,0.250053,0,0,0.347756,0,0,0,0.189722,0.736472,0.060489,0,0,0,0,0.207548,0.487643,0.252881,0.556704,0.534088,0.857152,0.537409
0.748777,0.667081,0.739225,0.803235,0.766098,0.104586,0.555235,0.975949,0.212694,0.320103,0.898572,0.613957,0.472864,0.22976,0,0,0.440064,0,0,0.44334,0,0.215094,0.241809,0.525951,0.390395,0.273566,0.077761,0.123501,0.019573,0.20166,0.428053,0.151554,0.092472,0.25355,0.594813,0.514394,0.642901,0.310371,0.302624,0.360204,0.496748,0.711642,0.682402,0.639798,0.172418,0.490488,0.175402,0.280408,0.12452,0.487181,0.500003,0.534088,0.061206,0.636048
0.935768,0.636396,0.813,0.838347,0.570245,0,0.905104,0.979746,0.283199,0.31263,0.525358,0.060788,0.528493,0.885339,0.988638,1,0.993884,0.983448,1,1,0.985727,0.971938,0.977505,0.999876,0.048514,1,1,1,1,1,0.065731,1,1,1,0.55297,0.454157,0.378927,0.34109,0.354472,0.414234,0.550832,0.382288,0.702441,0.539036,0.163852,0.454772,0.155794,0.298105,0.122727,0.612159,0.670107,0.534088,0.857152,0.653054
0.90081,0.634624,0.777937,0.835839,0.57509,0.168807,0.915009,0.867088,0.144539,0.011024,0.305551,0,0.468553,1,0.985024,0.999389,0.955128,0.982975,0.994947,0.989455,0.981197,0.997185,0.996896,0.999221,0.028079,0.221304,0.121796,0.104266,0.112034,0.133823,0.046626,0.156223,0.137196,0.118469,0.828392,0.833471,0.062979,0.722843,0.746508,0.849665,0.284904,0.14712,0.517833,0.44895,0.833911,0.705464,0.90593,0.934175,0.015264,0.838774,0.025786,0.534088,0.857152,0.653054
0.714628,0.666728,0.723154,0.802095,0.76056,0.253212,0.565148,0.870886,0.08461,0.017706,0.97633,0.60657,0.469627,0.29715,1,0.995439,0.975769,0.994993,0.913769,0.99112,1,1,1,1,0.731317,0.628392,0.075448,0.173118,0.030904,0.178935,0.769647,0.173244,0.161801,0.122168,0.656785,0.676541,0.353761,0.444648,0.454359,0.61967,0.350368,0.529833,0.390609,0.385188,0.652832,0.666018,0.096662,0.0402,0.067502,0.838153,0.144339,0.534088,0.857152,0.676865
0.747149,0.668501,0.747257,0.806199,0.764021,0.088073,0.555235,1,0.193892,0.312237,0.121056,1,0.666273,0.598907,0.938369,0.935533,0.992127,0.933177,0.890324,0.958808,0.939443,0.928394,0.938356,0.966549,0.032498,0.031576,0.107773,0.056407,0.014163,0.107323,0.066655,0.221684,0.137296,0.28416,0.613351,0.50706,0.673334,0.373682,0.380158,0.420525,0.866218,0.600801,0.750296,0.600167,0.11262,1,0.160922,0.287302,0.140305,0.476893,0.752579,0.534088,0.061206,0.687067
0.746336,0.667614,0.741415,0.804375,0.763329,0.095412,0.546736,0.989873,0.178616,0.316564,0.463735,0.897302,0.651201,0.35706,0.842954,0.847555,0.940836,0.834246,0.803521,0.885708,0.844201,0.893202,0.900173,0.912914,0.028338,0.021773,0.084318,0.049484,0.012265,0.081463,0.058333,0.156384,0.088538,0.220251,0.558266,0.484145,0.556639,0.381523,0.387974,0.448719,0.691332,0.558703,0.698397,0.618958,0.158969,0.708719,0.165481,0.275024,0.038943,0.566253,0.706189,0.534088,0.857152,0.721081
0.746336,0.667259,0.739953,0.804147,0.764021,0.110091,0.542485,0.988607,0.175091,0.316957,0.533585,0.818961,0.253711,0.248347,0.815515,0.826345,0.933726,0.802561,0.783054,0.854953,0.816965,0.88684,0.893632,0.896782,0.028093,0.02102,0.082074,0.049056,0.012104,0.07901,0.057719,0.148472,0.082538,0.212649,0.558266,0.480925,0.418453,0.390493,0.40193,0.466006,0.555871,0.433701,0.698397,0.480369,0.313779,0.587352,0.109443,0.130947,0.131766,0.566253,0.587632,0.534088,0.857152,0.724484
0.75528,0.668679,0.745798,0.805743,0.762638,0.086239,0.563731,0.987341,0.226794,0.314597,0.308322,0.775192,0.25013,0.209616,0.928745,0.924715,0.991056,0.924569,0.876803,0.959765,0.9294,0.929818,0.937588,0.961759,0.031332,0.029363,0.103986,0.054891,0.013664,0.104266,0.063983,0.218119,0.136186,0.286042,0.635067,0.54426,0.615874,0.407644,0.405964,0.430906,0.546926,0.601163,0.85461,0.481161,0.292018,0.446911,0.109378,0.136083,0.113017,0.654381,0.670107,0.534088,0.857152,0.738087
0.749589,0.66992,0.745067,0.807795,0.757794,0.082568,0.593477,0.981012,0.303176,0.303193,0.360458,0.688697,0.509029,0,0.938334,0.932554,1,0.935562,0.886654,0.970124,0.939334,0.935229,0.942126,0.968064,0.032169,0.031398,0.111314,0.056704,0.014101,0.111438,0.067269,0.240683,0.159833,0.290415,0.622885,0.481922,0.859383,0.345997,0.316473,0.363389,0.216889,0.936703,0.75691,0.541526,0.287953,0.06637,0.155862,0.262556,0.73098,0.491018,0.948459,0.534088,0.061206,0.758496
0.745524,0.669034,0.743605,0.806199,0.757103,0.106423,0.582146,0.981012,0.269098,0.306339,0.510504,0.710639,0.4424,0.00565,0.899659,0.896278,0.968811,0.895676,0.849478,0.938969,0.900951,0.916016,0.9218,0.945954,0.029722,0.025202,0.093328,0.051944,0.012953,0.092034,0.062444,0.185987,0.114657,0.24864,0.61494,0.503063,1,0.331511,0.30002,0.335798,0.524042,1,0.775275,0.398468,0.310284,0.625071,0.116776,0.255272,1,0.588207,0.824748,0.534088,0.061206,0.836727
0.939018,0.641717,0.892618,0.959415,0.682358,0.253212,1,0.867088,0.176265,0.019671,0.53148,0.06058,0.468711,0.884774,0.991354,0.989023,0.767392,0.901151,0.419005,0.919068,0.989015,0.898759,0.899973,0.957133,0.047174,0.216038,0.109561,0.232942,0.013331,0.116383,0.080106,0.135499,0.090103,0.11941,0.905194,0.896221,0.346665,0.786716,0.801441,0.83081,0.282426,0.417004,0.674041,0.450752,0.838317,0.694026,0.917408,0.935576,0.02577,0.966204,0.097955,1,0.551021,0.836727
0.752842,0.668146,0.743605,0.804831,0.766098,0.089907,0.556649,0.988607,0.226794,0.31499,0.484978,0.737545,0.537072,0.05548,0.894506,0.892483,0.963231,0.88911,0.844113,0.933266,0.89511,0.908247,0.916394,0.94223,0.029504,0.02509,0.094029,0.051857,0.012851,0.094111,0.060185,0.191713,0.116169,0.259403,0.55297,0.460419,0.683029,0.313181,0.304386,0.357868,0.548606,0.734726,0.702441,0.537076,0.167708,0.446137,0.155782,0.295139,0.111821,0.612159,0.747424,0.534088,0.857152,0.850331
0.714628,0.666728,0.723154,0.802095,0.76056,0.253212,0.565148,0.870886,0.08461,0.017706,0.97633,0.60657,0.469627,0.29715,1,0.995439,0.975769,0.994993,0.913769,0.99112,1,1,1,1,0.731317,0.628392,0.075448,0.173118,0.030904,0.178935,0.769647,0.173244,0.161801,0.122168,0.656785,0.676541,0.353761,0.444648,0.454359,0.61967,0.350368,0.529833,0.390609,0.385188,0.652832,0.666018,0.096662,0.0402,0.067502,0.675722,0.118554,0.534088,0.857152,0.853725
0.752842,0.668855,0.744336,0.805971,0.764021,0.080734,0.563731,0.988607,0.231494,0.314597,0.425209,0.815222,0.53925,0.192432,0.927907,0.923831,0.991056,0.92379,0.876058,0.959395,0.928636,0.930331,0.937921,0.961432,0.031247,0.029209,0.103425,0.054752,0.013659,0.102831,0.063983,0.215243,0.134573,0.281535,0.72988,0.619646,0.800864,0.533546,0.522478,0.502756,0.571238,0.714444,1,0.432047,0.425449,0.613582,0.099776,0.103977,0.109605,0.746504,0.685569,0.534088,0.857152,0.901352
0.56097,0.684819,0.521548,1,0.504501,0.244038,0.40651,0.970885,0.207993,0.305158,0.244151,0.59523,0.5367,0.072864,0.98873,0.986256,0.80844,0.97113,0.811398,0.972052,0.986942,0.968904,0.970496,0.98477,0.034645,0.029184,0.048837,0.001897,0.004114,0.034277,0.044367,0.111809,0.063581,0.179013,0.516951,0.43515,0.582208,0.273281,0.271161,0.340516,0.56998,0.664116,0.611796,0.537843,0.164626,0.452669,0.155719,0.296534,0.11212,0.575464,1,0.35227,0.918377,1
